Ⴁ	b AL
ხანგრძლივობა	x BC ɑ AJ n AE ɡ BD r BA d AH z AG l AC i AJ v BE ɔ AK b AL ɑ AJ
ხანდაზმული	x BC ɑ AJ n AE d AH ɑ AJ z AG m AD u AK l AC i AJ
ხანდახან	x BC ɑ AJ n AE d AH ɑ AJ x BC ɑ AJ n AE
ხანი	x BC ɑ AJ n AE i AJ
ხანმეტი	x BC ɑ AJ n AE m AD ɛ AJ tʼ BB i AJ
ხანმოკლე	x BC ɑ AJ n AE m AD ɔ AK kʼ AM l AC ɛ AJ
ხანმოკლეობა	x BC ɑ AJ n AE m AD ɔ AK kʼ AM l AC ɛ AJ ɔ AK b AL ɑ AJ
ხანძარი	x BC ɑ AJ n AE d AH z AG ɑ AJ r BA i AJ
ხანჯალი	x BC ɑ AJ n AE d AH ʒ AG ɑ AJ l AC i AJ
ხანჯლური	x BC ɑ AJ n AE d AH ʒ AG l AC u AK r BA i AJ
ხაო	x BC ɑ AJ ɔ AK
ხაოიანი	x BC ɑ AJ ɔ AK i AJ ɑ AJ n AE i AJ
ხარ	x BC ɑ AJ r BA
ხარაკირი	x BC ɑ AJ r BA ɑ AJ kʼ AM i AJ r BA i AJ
ხარატი	x BC ɑ AJ r BA ɑ AJ tʼ BB i AJ
ხარაჩო	x BC ɑ AJ r BA ɑ AJ t AH ʃ AG ɔ AK
ხარბად	x BC ɑ AJ r BA b AL ɑ AJ d AH
ხარბი	x BC ɑ AJ r BA b AL i AJ
ხარვეზი	x BC ɑ AJ r BA v BE ɛ AJ z AG i AJ
ხართ	x BC ɑ AJ r BA tʰ AI
ხარი	x BC ɑ AJ r BA i AJ
ხარისხად	x BC ɑ AJ r BA i AJ s AG x BC ɑ AJ d AH
ხარისხი	x BC ɑ AJ r BA i AJ s AG x BC i AJ
ხარისხით	x BC ɑ AJ r BA i AJ s AG x BC i AJ tʰ AI
ხარისხის	x BC ɑ AJ r BA i AJ s AG x BC i AJ s AG
ხარისხმა	x BC ɑ AJ r BA i AJ s AG x BC m AD ɑ AJ
ხარისხობრივად	x BC ɑ AJ r BA i AJ s AG x BC ɔ AK b AL r BA i AJ v BE ɑ AJ d AH
ხარისხობრივი	x BC ɑ AJ r BA i AJ s AG x BC ɔ AK b AL r BA i AJ v BE i AJ
ხარისხს	x BC ɑ AJ r BA i AJ s AG x BC s AG
ხარიხა	x BC ɑ AJ r BA i AJ x BC ɑ AJ
ხარკი	x BC ɑ AJ r BA kʼ AM i AJ
ხარკოვი	x BC ɑ AJ r BA kʼ AM ɔ AK v BE i AJ
ხარშავს	x BC ɑ AJ r BA ʃ AG ɑ AJ v BE s AG
ხარშვა	x BC ɑ AJ r BA ʃ AG v BE ɑ AJ
ხარჩო	x BC ɑ AJ r BA t AH ʃ AG ɔ AK
ხარხარი	x BC ɑ AJ r BA x BC ɑ AJ r BA i AJ
ხარჯავს	x BC ɑ AJ r BA d AH ʒ AG ɑ AJ v BE s AG
ხარჯი	x BC ɑ AJ r BA d AH ʒ AG i AJ
ხასიათი	x BC ɑ AJ s AG i AJ ɑ AJ tʰ AI i AJ
ხატა	x BC ɑ AJ tʼ BB ɑ AJ
ხატავს	x BC ɑ AJ tʼ BB ɑ AJ v BE s AG
ხატები	x BC ɑ AJ tʼ BB ɛ AJ b AL i AJ
ხატვა	x BC ɑ AJ tʼ BB v BE ɑ AJ
ხატი	x BC ɑ AJ tʼ BB i AJ
ხატია	x BC ɑ AJ tʼ BB i AJ ɑ AJ
ხატოვანი	x BC ɑ AJ tʼ BB ɔ AK v BE ɑ AJ n AE i AJ
ხატოვნად	x BC ɑ AJ tʼ BB ɔ AK v BE n AE ɑ AJ d AH
ხაფანგი	x BC ɑ AJ pʰ AF ɑ AJ n AE ɡ BD i AJ
ხაფი	x BC ɑ AJ pʰ AF i AJ
ხაში	x BC ɑ AJ ʃ AG i AJ
ხაჩკარი	x BC ɑ AJ t AH ʃ AG kʼ AM ɑ AJ r BA i AJ
ხაჭაპური	x BC ɑ AJ t AH ʃʼ BF ɑ AJ pʼ AN u AK r BA i AJ
ხაჭო	x BC ɑ AJ t AH ʃʼ BF ɔ AK
ხახვი	x BC ɑ AJ x BC v BE i AJ
ხბო	x BC b AL ɔ AK
ხდება	x BC d AH ɛ AJ b AL ɑ AJ
ხდენა	x BC d AH ɛ AJ n AE ɑ AJ
ხდომა	x BC d AH ɔ AK m AD ɑ AJ
ხე	x BC ɛ AJ
ხედ	x BC ɛ AJ d AH
ხედავს	x BC ɛ AJ d AH ɑ AJ v BE s AG
ხედვა	x BC ɛ AJ d AH v BE ɑ AJ
ხედი	x BC ɛ AJ d AH i AJ
ხეებად	x BC ɛ AJ ɛ AJ b AL ɑ AJ d AH
ხეები	x BC ɛ AJ ɛ AJ b AL i AJ
ხეებით	x BC ɛ AJ ɛ AJ b AL i AJ tʰ AI
ხეების	x BC ɛ AJ ɛ AJ b AL i AJ s AG
ხეებმა	x BC ɛ AJ ɛ AJ b AL m AD ɑ AJ
ხეებო	x BC ɛ AJ ɛ AJ b AL ɔ AK
ხეებს	x BC ɛ AJ ɛ AJ b AL s AG
ხევ	x BC ɛ AJ v BE
ხევი	x BC ɛ AJ v BE i AJ
ხევისბერი	x BC ɛ AJ v BE i AJ s AG b AL ɛ AJ r BA i AJ
ხევსურეთი	x BC ɛ AJ v BE s AG u AK r BA ɛ AJ tʰ AI i AJ
ხევსური	x BC ɛ AJ v BE s AG u AK r BA i AJ
ხევსურული	x BC ɛ AJ v BE s AG u AK r BA u AK l AC i AJ
ხეთ	x BC ɛ AJ tʰ AI
ხეთქა	x BC ɛ AJ tʰ AI kʰ AB ɑ AJ
ხეიბარი	x BC ɛ AJ i AJ b AL ɑ AJ r BA i AJ
ხეივანი	x BC ɛ AJ i AJ v BE ɑ AJ n AE i AJ
ხეკოლა	x BC ɛ AJ kʼ AM ɔ AK l AC ɑ AJ
ხეკორძი	x BC ɛ AJ kʼ AM ɔ AK r BA d AH z AG i AJ
ხელად	x BC ɛ AJ l AC ɑ AJ d AH
ხელადა	x BC ɛ AJ l AC ɑ AJ d AH ɑ AJ
ხელახლა	x BC ɛ AJ l AC ɑ AJ x BC l AC ɑ AJ
ხელბორკილი	x BC ɛ AJ l AC b AL ɔ AK r BA kʼ AM i AJ l AC i AJ
ხელბურთი	x BC ɛ AJ l AC b AL u AK r BA tʰ AI i AJ
ხელგაშლილად	x BC ɛ AJ l AC ɡ BD ɑ AJ ʃ AG l AC i AJ l AC ɑ AJ d AH
ხელგაშლილი	x BC ɛ AJ l AC ɡ BD ɑ AJ ʃ AG l AC i AJ l AC i AJ
ხელგაშლილობა	x BC ɛ AJ l AC ɡ BD ɑ AJ ʃ AG l AC i AJ l AC ɔ AK b AL ɑ AJ
ხელთათმანი	x BC ɛ AJ l AC tʰ AI ɑ AJ tʰ AI m AD ɑ AJ n AE i AJ
ხელი	x BC ɛ AJ l AC i AJ
ხელით	x BC ɛ AJ l AC i AJ tʰ AI
ხელის	x BC ɛ AJ l AC i AJ s AG
ხელისგული	x BC ɛ AJ l AC i AJ s AG ɡ BD u AK l AC i AJ
ხელისუფალი	x BC ɛ AJ l AC i AJ s AG u AK pʰ AF ɑ AJ l AC i AJ
ხელისუფლება	x BC ɛ AJ l AC i AJ s AG u AK pʰ AF l AC ɛ AJ b AL ɑ AJ
ხელისუფლებამ	x BC ɛ AJ l AC i AJ s AG u AK pʰ AF l AC ɛ AJ b AL ɑ AJ m AD
ხელკეტი	x BC ɛ AJ l AC kʼ AM ɛ AJ tʼ BB i AJ
ხელმა	x BC ɛ AJ l AC m AD ɑ AJ
ხელმოკლე	x BC ɛ AJ l AC m AD ɔ AK kʼ AM l AC ɛ AJ
ხელმომწერი	x BC ɛ AJ l AC m AD ɔ AK m AD t AH sʼ BF ɛ AJ r BA i AJ
ხელმოუწერელი	x BC ɛ AJ l AC m AD ɔ AK u AK t AH sʼ BF ɛ AJ r BA ɛ AJ l AC i AJ
ხელმოწერა	x BC ɛ AJ l AC m AD ɔ AK t AH sʼ BF ɛ AJ r BA ɑ AJ
ხელმძღვანელი	x BC ɛ AJ l AC m AD d AH z AG ɣ BC v BE ɑ AJ n AE ɛ AJ l AC i AJ
ხელმძღვანელობა	x BC ɛ AJ l AC m AD d AH z AG ɣ BC v BE ɑ AJ n AE ɛ AJ l AC ɔ AK b AL ɑ AJ
ხელმწიფე	x BC ɛ AJ l AC m AD t AH sʼ BF i AJ pʰ AF ɛ AJ
ხელნაწერი	x BC ɛ AJ l AC n AE ɑ AJ t AH sʼ BF ɛ AJ r BA i AJ
ხელობა	x BC ɛ AJ l AC ɔ AK b AL ɑ AJ
ხელოვანი	x BC ɛ AJ l AC ɔ AK v BE ɑ AJ n AE i AJ
ხელოვნება	x BC ɛ AJ l AC ɔ AK v BE n AE ɛ AJ b AL ɑ AJ
ხელოვნებად	x BC ɛ AJ l AC ɔ AK v BE n AE ɛ AJ b AL ɑ AJ d AH
ხელოვნებამ	x BC ɛ AJ l AC ɔ AK v BE n AE ɛ AJ b AL ɑ AJ m AD
ხელოვნებას	x BC ɛ AJ l AC ɔ AK v BE n AE ɛ AJ b AL ɑ AJ s AG
ხელოვნებით	x BC ɛ AJ l AC ɔ AK v BE n AE ɛ AJ b AL i AJ tʰ AI
ხელოვნების	x BC ɛ AJ l AC ɔ AK v BE n AE ɛ AJ b AL i AJ s AG
ხელოვნურად	x BC ɛ AJ l AC ɔ AK v BE n AE u AK r BA ɑ AJ d AH
ხელოვნური	x BC ɛ AJ l AC ɔ AK v BE n AE u AK r BA i AJ
ხელოსანი	x BC ɛ AJ l AC ɔ AK s AG ɑ AJ n AE i AJ
ხელს	x BC ɛ AJ l AC s AG
ხელსაქმე	x BC ɛ AJ l AC s AG ɑ AJ kʰ AB m AD ɛ AJ
ხელსაყრელად	x BC ɛ AJ l AC s AG ɑ AJ qʼ AM r BA ɛ AJ l AC ɑ AJ d AH
ხელსაყრელი	x BC ɛ AJ l AC s AG ɑ AJ qʼ AM r BA ɛ AJ l AC i AJ
ხელსაწყო	x BC ɛ AJ l AC s AG ɑ AJ t AH sʼ BF qʼ AM ɔ AK
ხელსახოცი	x BC ɛ AJ l AC s AG ɑ AJ x BC ɔ AK t AH s AG i AJ
ხელუხლებელი	x BC ɛ AJ l AC u AK x BC l AC ɛ AJ b AL ɛ AJ l AC i AJ
ხელყუმბარა	x BC ɛ AJ l AC qʼ AM u AK m AD b AL ɑ AJ r BA ɑ AJ
ხელშეკრულება	x BC ɛ AJ l AC ʃ AG ɛ AJ kʼ AM r BA u AK l AC ɛ AJ b AL ɑ AJ
ხელშემწყობი	x BC ɛ AJ l AC ʃ AG ɛ AJ m AD t AH sʼ BF qʼ AM ɔ AK b AL i AJ
ხელშესახებად	x BC ɛ AJ l AC ʃ AG ɛ AJ s AG ɑ AJ x BC ɛ AJ b AL ɑ AJ d AH
ხელშესახები	x BC ɛ AJ l AC ʃ AG ɛ AJ s AG ɑ AJ x BC ɛ AJ b AL i AJ
ხელშეუხებელი	x BC ɛ AJ l AC ʃ AG ɛ AJ u AK x BC ɛ AJ b AL ɛ AJ l AC i AJ
ხელშეწყობა	x BC ɛ AJ l AC ʃ AG ɛ AJ t AH sʼ BF qʼ AM ɔ AK b AL ɑ AJ
ხელცარიელი	x BC ɛ AJ l AC t AH s AG ɑ AJ r BA i AJ ɛ AJ l AC i AJ
ხელწამოსაკრავი	x BC ɛ AJ l AC t AH sʼ BF ɑ AJ m AD ɔ AK s AG ɑ AJ kʼ AM r BA ɑ AJ v BE i AJ
ხელწერა	x BC ɛ AJ l AC t AH sʼ BF ɛ AJ r BA ɑ AJ
ხემ	x BC ɛ AJ m AD
ხემი	x BC ɛ AJ m AD i AJ
ხემსი	x BC ɛ AJ m AD s AG i AJ
ხენდრო	x BC ɛ AJ n AE d AH r BA ɔ AK
ხენი	x BC ɛ AJ n AE i AJ
ხენო	x BC ɛ AJ n AE ɔ AK
ხეობა	x BC ɛ AJ ɔ AK b AL ɑ AJ
ხეპრე	x BC ɛ AJ pʼ AN r BA ɛ AJ
ხერესი	x BC ɛ AJ r BA ɛ AJ s AG i AJ
ხერხავს	x BC ɛ AJ r BA x BC ɑ AJ v BE s AG
ხერხემალი	x BC ɛ AJ r BA x BC ɛ AJ m AD ɑ AJ l AC i AJ
ხერხი	x BC ɛ AJ r BA x BC i AJ
ხერხით	x BC ɛ AJ r BA x BC i AJ tʰ AI
ხერხის	x BC ɛ AJ r BA x BC i AJ s AG
ხერხმა	x BC ɛ AJ r BA x BC m AD ɑ AJ
ხერხს	x BC ɛ AJ r BA x BC s AG
ხეს	x BC ɛ AJ s AG
ხეტიალი	x BC ɛ AJ tʼ BB i AJ ɑ AJ l AC i AJ
ხეჩაკალი	x BC ɛ AJ t AH ʃ AG ɑ AJ kʼ AM ɑ AJ l AC i AJ
ხეხავს	x BC ɛ AJ x BC ɑ AJ v BE s AG
ხვალ	x BC v BE ɑ AJ l AC
ხვალინდელი	x BC v BE ɑ AJ l AC i AJ n AE d AH ɛ AJ l AC i AJ
ხვარამზე	x BC v BE ɑ AJ r BA ɑ AJ m AD z AG ɛ AJ
ხვართქლა	x BC v BE ɑ AJ r BA tʰ AI kʰ AB l AC ɑ AJ
ხვატი	x BC v BE ɑ AJ tʼ BB i AJ
ხვედრა	x BC v BE ɛ AJ d AH r BA ɑ AJ
ხვედრი	x BC v BE ɛ AJ d AH r BA i AJ
ხვევა	x BC v BE ɛ AJ v BE ɑ AJ
ხველა	x BC v BE ɛ AJ l AC ɑ AJ
ხველება	x BC v BE ɛ AJ l AC ɛ AJ b AL ɑ AJ
ხვეული	x BC v BE ɛ AJ u AK l AC i AJ
ხვეწს	x BC v BE ɛ AJ t AH sʼ BF s AG
ხვია	x BC v BE i AJ ɑ AJ
ხვინჭი	x BC v BE i AJ n AE t AH ʃʼ BF i AJ
ხვირიკა	x BC v BE i AJ r BA i AJ kʼ AM ɑ AJ
ხვლიკი	x BC v BE l AC i AJ kʼ AM i AJ
ხვრელი	x BC v BE r BA ɛ AJ l AC i AJ
ხვრეპა	x BC v BE r BA ɛ AJ pʼ AN ɑ AJ
ხვრეპს	x BC v BE r BA ɛ AJ pʼ AN s AG
ხვრინავს	x BC v BE r BA i AJ n AE ɑ AJ v BE s AG
ხვრინვა	x BC v BE r BA i AJ n AE v BE ɑ AJ
ხიბლი	x BC i AJ b AL l AC i AJ
ხიდი	x BC i AJ d AH i AJ
ხიზანიშვილი	x BC i AJ z AG ɑ AJ n AE i AJ ʃ AG v BE i AJ l AC i AJ
ხიზილალა	x BC i AJ z AG i AJ l AC ɑ AJ l AC ɑ AJ
ხით	x BC i AJ tʰ AI
ხილვა	x BC i AJ l AC v BE ɑ AJ
ხილი	x BC i AJ l AC i AJ
ხილული	x BC i AJ l AC u AK l AC i AJ
ხილულობა	x BC i AJ l AC u AK l AC ɔ AK b AL ɑ AJ
ხიმინჯი	x BC i AJ m AD i AJ n AE d AH ʒ AG i AJ
ხინკალი	x BC i AJ n AE kʼ AM ɑ AJ l AC i AJ
ხინჯი	x BC i AJ n AE d AH ʒ AG i AJ
ხის	x BC i AJ s AG
ხისტად	x BC i AJ s AG tʼ BB ɑ AJ d AH
ხისტი	x BC i AJ s AG tʼ BB i AJ
ხიფათი	x BC i AJ pʰ AF ɑ AJ tʰ AI i AJ
ხიფათიანი	x BC i AJ pʰ AF ɑ AJ tʰ AI i AJ ɑ AJ n AE i AJ
ხიშტი	x BC i AJ ʃ AG tʼ BB i AJ
ხიწვი	x BC i AJ t AH sʼ BF v BE i AJ
ხიჭვი	x BC i AJ t AH ʃʼ BF v BE i AJ
ხიჭი	x BC i AJ t AH ʃʼ BF i AJ
ხლეჩს	x BC l AC ɛ AJ t AH ʃ AG s AG
ხმა	x BC m AD ɑ AJ
ხმად	x BC m AD ɑ AJ d AH
ხმადაბლა	x BC m AD ɑ AJ d AH ɑ AJ b AL l AC ɑ AJ
ხმალი	x BC m AD ɑ AJ l AC i AJ
ხმამ	x BC m AD ɑ AJ m AD
ხმამაღალი	x BC m AD ɑ AJ m AD ɑ AJ ɣ BC ɑ AJ l AC i AJ
ხმამაღლა	x BC m AD ɑ AJ m AD ɑ AJ ɣ BC l AC ɑ AJ
ხმამაღლამოლაპარაკე	x BC m AD ɑ AJ m AD ɑ AJ ɣ BC l AC ɑ AJ m AD ɔ AK l AC ɑ AJ pʼ AN ɑ AJ r BA ɑ AJ kʼ AM ɛ AJ
ხმარება	x BC m AD ɑ AJ r BA ɛ AJ b AL ɑ AJ
ხმას	x BC m AD ɑ AJ s AG
ხმაური	x BC m AD ɑ AJ u AK r BA i AJ
ხმაურიანად	x BC m AD ɑ AJ u AK r BA i AJ ɑ AJ n AE ɑ AJ d AH
ხმაურიანი	x BC m AD ɑ AJ u AK r BA i AJ ɑ AJ n AE i AJ
ხმაურით	x BC m AD ɑ AJ u AK r BA i AJ tʰ AI
ხმაშეუღწევი	x BC m AD ɑ AJ ʃ AG ɛ AJ u AK ɣ BC t AH sʼ BF ɛ AJ v BE i AJ
ხმელეთი	x BC m AD ɛ AJ l AC ɛ AJ tʰ AI i AJ
ხმელი	x BC m AD ɛ AJ l AC i AJ
ხმით	x BC m AD i AJ tʰ AI
ხმის	x BC m AD i AJ s AG
ხმოვანი	x BC m AD ɔ AK v BE ɑ AJ n AE i AJ
ხნარცვი	x BC n AE ɑ AJ r BA t AH s AG v BE i AJ
ხო	x BC ɔ AK
ხოგაი	x BC ɔ AK ɡ BD ɑ AJ i AJ
ხოდა	x BC ɔ AK d AH ɑ AJ
ხოლო	x BC ɔ AK l AC ɔ AK
ხომ	x BC ɔ AK m AD
ხომალდი	x BC ɔ AK m AD ɑ AJ l AC d AH i AJ
ხომასურიძე	x BC ɔ AK m AD ɑ AJ s AG u AK r BA i AJ d AH z AG ɛ AJ
ხონჩა	x BC ɔ AK n AE t AH ʃ AG ɑ AJ
ხორაგი	x BC ɔ AK r BA ɑ AJ ɡ BD i AJ
ხორბალი	x BC ɔ AK r BA b AL ɑ AJ l AC i AJ
ხორბლეული	x BC ɔ AK r BA b AL l AC ɛ AJ u AK l AC i AJ
ხორვატია	x BC ɔ AK r BA v BE ɑ AJ tʼ BB i AJ ɑ AJ
ხორთუმი	x BC ɔ AK r BA tʰ AI u AK m AD i AJ
ხორკლიანი	x BC ɔ AK r BA kʼ AM l AC i AJ ɑ AJ n AE i AJ
ხორუმი	x BC ɔ AK r BA u AK m AD i AJ
ხორცი	x BC ɔ AK r BA t AH s AG i AJ
ხორციანი	x BC ɔ AK r BA t AH s AG i AJ ɑ AJ n AE i AJ
ხორციელი	x BC ɔ AK r BA t AH s AG i AJ ɛ AJ l AC i AJ
ხორცსავსე	x BC ɔ AK r BA t AH s AG s AG ɑ AJ v BE s AG ɛ AJ
ხორცშესხმა	x BC ɔ AK r BA t AH s AG ʃ AG ɛ AJ s AG x BC m AD ɑ AJ
ხორცშესხმული	x BC ɔ AK r BA t AH s AG ʃ AG ɛ AJ s AG x BC m AD u AK l AC i AJ
ხორხი	x BC ɔ AK r BA x BC i AJ
ხორხისმიერი	x BC ɔ AK r BA x BC i AJ s AG m AD i AJ ɛ AJ r BA i AJ
ხორხსარქველი	x BC ɔ AK r BA x BC s AG ɑ AJ r BA kʰ AB v BE ɛ AJ l AC i AJ
ხოტბა	x BC ɔ AK tʼ BB b AL ɑ AJ
ხოცვა	x BC ɔ AK t AH s AG v BE ɑ AJ
ხოჭო	x BC ɔ AK t AH ʃʼ BF ɔ AK
ხოხისმიერად	x BC ɔ AK x BC i AJ s AG m AD i AJ ɛ AJ r BA ɑ AJ d AH
ხოხობი	x BC ɔ AK x BC ɔ AK b AL i AJ
ხრამი	x BC r BA ɑ AJ m AD i AJ
ხრამული	x BC r BA ɑ AJ m AD u AK l AC i AJ
ხრაშუნი	x BC r BA ɑ AJ ʃ AG u AK n AE i AJ
ხრახნი	x BC r BA ɑ AJ x BC n AE i AJ
ხრეში	x BC r BA ɛ AJ ʃ AG i AJ
ხრეშიანი	x BC r BA ɛ AJ ʃ AG i AJ ɑ AJ n AE i AJ
ხრიალი	x BC r BA i AJ ɑ AJ l AC i AJ
ხრიდოლი	x BC r BA i AJ d AH ɔ AK l AC i AJ
ხრიკი	x BC r BA i AJ kʼ AM i AJ
ხრინწიანად	x BC r BA i AJ n AE t AH sʼ BF i AJ ɑ AJ n AE ɑ AJ d AH
ხრინწიანი	x BC r BA i AJ n AE t AH sʼ BF i AJ ɑ AJ n AE i AJ
ხროვა	x BC r BA ɔ AK v BE ɑ AJ
ხრტილი	x BC r BA tʼ BB i AJ l AC i AJ
ხრტილოვანი	x BC r BA tʼ BB i AJ l AC ɔ AK v BE ɑ AJ n AE i AJ
ხრწნა	x BC r BA t AH sʼ BF n AE ɑ AJ
ხსენება	x BC s AG ɛ AJ n AE ɛ AJ b AL ɑ AJ
ხსნა	x BC s AG n AE ɑ AJ
ხსნადი	x BC s AG n AE ɑ AJ d AH i AJ
ხსნადობა	x BC s AG n AE ɑ AJ d AH ɔ AK b AL ɑ AJ
ხსნის	x BC s AG n AE i AJ s AG
ხტომა	x BC tʼ BB ɔ AK m AD ɑ AJ
ხუთი	x BC u AK tʰ AI i AJ
ხუთკუთხა	x BC u AK tʰ AI kʼ AM u AK tʰ AI x BC ɑ AJ
ხუთკუთხედი	x BC u AK tʰ AI kʼ AM u AK tʰ AI x BC ɛ AJ d AH i AJ
ხუთოცი	x BC u AK tʰ AI ɔ AK t AH s AG i AJ
ხუთშაბათი	x BC u AK tʰ AI ʃ AG ɑ AJ b AL ɑ AJ tʰ AI i AJ
ხუთჭიდი	x BC u AK tʰ AI t AH ʃʼ BF i AJ d AH i AJ
ხულიგანი	x BC u AK l AC i AJ ɡ BD ɑ AJ n AE i AJ
ხულიგნობა	x BC u AK l AC i AJ ɡ BD n AE ɔ AK b AL ɑ AJ
ხულიგნური	x BC u AK l AC i AJ ɡ BD n AE u AK r BA i AJ
ხუმარა	x BC u AK m AD ɑ AJ r BA ɑ AJ
ხუმრობა	x BC u AK m AD r BA ɔ AK b AL ɑ AJ
ხუმრობით	x BC u AK m AD r BA ɔ AK b AL i AJ tʰ AI
ხუმრობს	x BC u AK m AD r BA ɔ AK b AL s AG
ხუნტა	x BC u AK n AE tʼ BB ɑ AJ
ხურავს	x BC u AK r BA ɑ AJ v BE s AG
ხურდა	x BC u AK r BA d AH ɑ AJ
ხურმა	x BC u AK r BA m AD ɑ AJ
ხურო	x BC u AK r BA ɔ AK
ხურტკმელი	x BC u AK r BA tʼ BB kʼ AM m AD ɛ AJ l AC i AJ
ხუშტური	x BC u AK ʃ AG tʼ BB u AK r BA i AJ
ხუცური	x BC u AK t AH s AG u AK r BA i AJ
ხუჭუჭი	x BC u AK t AH ʃʼ BF u AK t AH ʃʼ BF i AJ
ხუხულა	x BC u AK x BC u AK l AC ɑ AJ
ხშირად	x BC ʃ AG i AJ r BA ɑ AJ d AH
ხშირი	x BC ʃ AG i AJ r BA i AJ
ჯაბა	d AH ʒ AG ɑ AJ b AL ɑ AJ
ჯაბახანა	d AH ʒ AG ɑ AJ b AL ɑ AJ x BC ɑ AJ n AE ɑ AJ
ჯაგარი	d AH ʒ AG ɑ AJ ɡ BD ɑ AJ r BA i AJ
ჯაგრისი	d AH ʒ AG ɑ AJ ɡ BD r BA i AJ s AG i AJ
ჯადო	d AH ʒ AG ɑ AJ d AH ɔ AK
ჯადოსნობა	d AH ʒ AG ɑ AJ d AH ɔ AK s AG n AE ɔ AK b AL ɑ AJ
ჯადოსნურად	d AH ʒ AG ɑ AJ d AH ɔ AK s AG n AE u AK r BA ɑ AJ d AH
ჯადოსნური	d AH ʒ AG ɑ AJ d AH ɔ AK s AG n AE u AK r BA i AJ
ჯადოქარი	d AH ʒ AG ɑ AJ d AH ɔ AK kʰ AB ɑ AJ r BA i AJ
ჯადოქრობა	d AH ʒ AG ɑ AJ d AH ɔ AK kʰ AB r BA ɔ AK b AL ɑ AJ
ჯავა	d AH ʒ AG ɑ AJ v BE ɑ AJ
ჯავარიანი	d AH ʒ AG ɑ AJ v BE ɑ AJ r BA i AJ ɑ AJ n AE i AJ
ჯავახეთი	d AH ʒ AG ɑ AJ v BE ɑ AJ x BC ɛ AJ tʰ AI i AJ
ჯავშანი	d AH ʒ AG ɑ AJ v BE ʃ AG ɑ AJ n AE i AJ
ჯავშნიანი	d AH ʒ AG ɑ AJ v BE ʃ AG n AE i AJ ɑ AJ n AE i AJ
ჯაზური	d AH ʒ AG ɑ AJ z AG u AK r BA i AJ
ჯალათი	d AH ʒ AG ɑ AJ l AC ɑ AJ tʰ AI i AJ
ჯალამბარი	d AH ʒ AG ɑ AJ l AC ɑ AJ m AD b AL ɑ AJ r BA i AJ
ჯალაღონია	d AH ʒ AG ɑ AJ l AC ɑ AJ ɣ BC ɔ AK n AE i AJ ɑ AJ
ჯამაათი	d AH ʒ AG ɑ AJ m AD ɑ AJ ɑ AJ tʰ AI i AJ
ჯამაგირი	d AH ʒ AG ɑ AJ m AD ɑ AJ ɡ BD i AJ r BA i AJ
ჯამბაზი	d AH ʒ AG ɑ AJ m AD b AL ɑ AJ z AG i AJ
ჯამი	d AH ʒ AG ɑ AJ m AD i AJ
ჯანაშია	d AH ʒ AG ɑ AJ n AE ɑ AJ ʃ AG i AJ ɑ AJ
ჯანგირაშვილი	d AH ʒ AG ɑ AJ n AE ɡ BD i AJ r BA ɑ AJ ʃ AG v BE i AJ l AC i AJ
ჯანდაბა	d AH ʒ AG ɑ AJ n AE d AH ɑ AJ b AL ɑ AJ
ჯანი	d AH ʒ AG ɑ AJ n AE i AJ
ჯანმრთელად	d AH ʒ AG ɑ AJ n AE m AD r BA tʰ AI ɛ AJ l AC ɑ AJ d AH
ჯანმრთელი	d AH ʒ AG ɑ AJ n AE m AD r BA tʰ AI ɛ AJ l AC i AJ
ჯანმრთელობა	d AH ʒ AG ɑ AJ n AE m AD r BA tʰ AI ɛ AJ l AC ɔ AK b AL ɑ AJ
ჯანსაღად	d AH ʒ AG ɑ AJ n AE s AG ɑ AJ ɣ BC ɑ AJ d AH
ჯანსაღი	d AH ʒ AG ɑ AJ n AE s AG ɑ AJ ɣ BC i AJ
ჯანჯაფილი	d AH ʒ AG ɑ AJ n AE d AH ʒ AG ɑ AJ pʰ AF i AJ l AC i AJ
ჯარაექიმი	d AH ʒ AG ɑ AJ r BA ɑ AJ ɛ AJ kʰ AB i AJ m AD i AJ
ჯარბი	d AH ʒ AG ɑ AJ r BA b AL i AJ
ჯართი	d AH ʒ AG ɑ AJ r BA tʰ AI i AJ
ჯარი	d AH ʒ AG ɑ AJ r BA i AJ
ჯარიმა	d AH ʒ AG ɑ AJ r BA i AJ m AD ɑ AJ
ჯარისკაცი	d AH ʒ AG ɑ AJ r BA i AJ s AG kʼ AM ɑ AJ t AH s AG i AJ
ჯაყვა	d AH ʒ AG ɑ AJ qʼ AM v BE ɑ AJ
ჯაშუში	d AH ʒ AG ɑ AJ ʃ AG u AK ʃ AG i AJ
ჯაჭვი	d AH ʒ AG ɑ AJ t AH ʃʼ BF v BE i AJ
ჯგუფი	d AH ʒ AG ɡ BD u AK pʰ AF i AJ
ჯგუფური	d AH ʒ AG ɡ BD u AK pʰ AF u AK r BA i AJ
ჯდომა	d AH ʒ AG d AH ɔ AK m AD ɑ AJ
ჯებირი	d AH ʒ AG ɛ AJ b AL i AJ r BA i AJ
ჯეელი	d AH ʒ AG ɛ AJ ɛ AJ l AC i AJ
ჯეილი	d AH ʒ AG ɛ AJ i AJ l AC i AJ
ჯეიმსი	d AH ʒ AG ɛ AJ i AJ m AD s AG i AJ
ჯეინი	d AH ʒ AG ɛ AJ i AJ n AE i AJ
